season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-10-20,Genoa,Empoli,1.0,1.0,3,1,0,0,D,1593.53,1531.19,62.34,1,1,8,8,3,2,2,2,1,1,3,1,5.0,4.0,8.0,6.0,14,4,2,1,0.637598,1.57434,8.3125,8.91304347826087,2.0,6.0
1415,2014-10-25,Empoli,Cagliari,0.0,4.0,2,2,0,0,A,1523.04,1559.59,-36.55,0,3,7,4,4,4,1,4,0,1,1,3,9.0,6.0,7.0,8.0,5,12,1,0,0.456529,1.4998,12.409090909090908,11.586206896551724,6.0,7.0
1415,2014-10-25,Parma,Sassuolo,1.0,3.0,4,2,0,0,A,1617.97,1526.81,91.16,0,3,3,9,0,1,1,0,4,0,3,2,7.0,11.0,3.0,5.0,13,13,1,1,0.763954,1.64283,9.227272727272728,11.882352941176473,4.0,4.0
1415,2014-10-25,Sampdoria,Roma,0.0,0.0,2,3,0,0,D,1599.74,1790.12,-190.38,1,1,11,5,9,6,3,2,0,4,0,1,6.0,3.0,11.0,4.0,16,9,1,1,1.22488,1.23266,15.3,8.05,4.0,5.0
1415,2014-10-26,Milan,Fiorentina,1.0,1.0,2,2,0,0,D,1733.82,1714.95,18.87,1,1,8,8,6,4,2,2,1,2,2,1,8.0,5.0,5.0,3.0,10,12,1,0,0.857287,0.359683,11.666666666666666,8.15625,4.0,5.0
1415,2014-10-26,Cesena,Inter,0.0,1.0,5,1,1,0,A,1470.56,1669.56,-199.0,0,3,3,3,5,2,0,3,2,1,2,2,5.0,9.0,6.0,10.0,18,12,1,1,0.645724,2.06734,10.935483870967742,5.653846153846154,3.0,4.0
1415,2014-10-26,Chievo,Genoa,1.0,2.0,3,3,1,0,A,1536.48,1578.6,-42.12,0,3,1,4,1,5,0,1,4,2,2,1,4.0,11.0,6.0,5.0,13,13,0,1,1.20366,2.38033,9.689655172413794,4.03030303030303,6.0,9.0
1415,2014-10-26,Juventus,Palermo,2.0,0.0,2,1,0,0,H,1894.4,1552.27,342.13,3,0,13,7,9,1,4,1,0,1,2,2,11.0,3.0,6.0,12.0,12,17,2,0,1.59355,0.1661,6.67741935483871,19.55,12.0,1.0
1415,2014-10-26,Lazio,Torino,2.0,1.0,2,1,0,0,H,1663.82,1636.62,27.2,3,0,9,9,6,3,3,0,2,2,1,2,9.0,4.0,5.0,5.0,17,14,2,2,1.17164,0.495408,6.818181818181818,12.043478260869565,9.0,4.0
1415,2014-10-26,Napoli,Verona,6.0,2.0,1,1,0,0,H,1749.18,1595.43,153.75,3,0,8,5,4,4,2,2,1,2,1,2,8.0,7.0,5.0,7.0,12,9,0,1,4.61346,0.796178,6.851851851851852,23.58333333333333,18.0,5.0
